Designator,Footprint,Quantity,Value,LCSC Part #
3V3,TestPoint_Pad_D2.0mm,1,3V3Test,
C1,1206,1,100nF,
C2,1206,1,1u,
C3,1206,1,10nF,
GND,TestPoint_Pad_D2.0mm,1,GNDTest,
IN1,BoltFootprint,1,BATT_IN,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,
OUT1,BoltFootprint,1,24V_OUT,
R1,1206,1,80.6K,
R2,1206,1,10K,
SENS,TestPoint_Pad_D2.0mm,1,CurrentSense,
U1,Allegro_CB_PFF,1,ACS758xCB-100U-PFF,
U2,RaceTrackr Interface Board Reference,1,~,
VBAT,TestPoint_Pad_D2.0mm,1,VBATTest,
