Designator,Mid X,Mid Y,Rotation,Layer
D1,147.35,-61.175,0.0,top
D2,156.35,-61.175,0.0,top
J1,136.86,-49.28,180.0,bottom
J2,166.85,-49.28,180.0,bottom
J3,149.31,-69.0,0.0,top
J6,145.2,-76.56,0.0,top
J7,158.45,-76.56,0.0,top
Q1,147.325,-53.11,90.0,top
Q2,156.325,-53.11,90.0,top
R1,141.3,-70.675,180.0,bottom
R2,141.3,-67.675,180.0,bottom
R3,141.3,-62.675,180.0,bottom
R4,141.3,-59.675,180.0,bottom
R5,162.55,-70.675,180.0,bottom
R6,162.55,-67.675,180.0,bottom
R7,162.55,-62.675,180.0,bottom
R8,162.55,-59.675,180.0,bottom
U1,140.025,-72.975,90.0,top
U2,161.275,-72.975,90.0,top
